,,,,,,Coreopsis,,,,Monarda,,,,,,,,,,,,,,
date,site,time.out,time.collected,position,updown,c.vert.pigment.added,c.vert.n.flowers,c.vert.n.high.pigment,c.vert.n.low.pigment,m.fist.n.flowers.pigment.added,m.fist.n.inflorescences.pigment.added,m.fist.n.flowers,m.fist.n.inflorescences,m.fist.n.pigment.high,m.fist.inflor.pigment.high,m.fist.n.pigment.low,m.fist.inflor.pigment.low,m.fist.inflor.pigment,notes,,,,,
7/15,Earhart at Gross,8:37,16:29,along,downstream,14,23,7,9,316,32,412,44,0,0,0,0,0,,,,,,
7/15,Huron Pkwy at E Huron R Dr,9:18,16:41,along,downstream,14,10,0,1,402,39,196,20,0,0,3,2,2,,,,,,
7/15,Maryfield dr,8:40,16:30,along,downstream,,,,,147,14,146,9,70,8,1,1,8,,,,,,
7/15,Seventh St. at Jefferson,9:04,16:50,along,upstream,31,25,13,7,380,28,183,15,4,3,8,6,6,,,,,,
7/15,W. liberty at Zion Lutheran,9:35,17:10,along,upstream,21,28,8,2,458,29,366,28,0,0,0,0,0,,,,,,
7/17,Parker Mill,8:52,16:41,along,upstream,14,8,1,4,321,34,249,27,0,0,2,2,2,,,,,,
7/17,Matthaei path,9:21,15:01,along,downstream,18,17,9,8,320,32,355,33,6,2,22,8,8,,,,,,
7/17,Washtenaw at Tuomy,9:35,17:20,along,upstream,,,,,445,26,360,24,178,11,11,3,11,,,,,,
7/17,Washtenaw at church,9:09,17:06,along,upstream,26,15,0,0,627,25,297,25,0,0,20,9,9,,,,,,
7/17,Oswego St,10:05,17:36,along,upstream,,,,,295,24,146,12,8,4,21,7,7,,,,,,
7/20,N Maple,9:10,16:50,along,upstream,,,,,690,42,330,22,5,2,17,9,9,,,,,,
7/20,Spring St,9:28,17:05,along,upstream,,,,,812,29,518,35,25,9,24,10,10,,,,,,
7/20,Riverside Park,8:56,16:46,along,downstream,22,20,10,8,,,,,,,,,,,,,,,
7/20,Fuller Park,9:22,16:58,along,downstream,18,13,0,0,,,,,,,,,,,,,,,
7/21,Wurster Park,9:10,17:05,along,downstream,,,,,665,28,385,15,160,13,20,5,13,,,,,,
7/21,Gallup Park,9:05,17:22,along,downstream,14,17,4,10,,,,,,,,,,,,,,,
7/21,Arb prarie,9:30,17:31,along,,20,17,1,3,,,,,,,,,,,,,,,
7/23,Leslie Park north meadow,8:29,16:45,along,,18,19,14,5,,,,,,,,,,,,,,,
7/23,Leslie trail W of Pontiac Tr,8:57,16:56,along,,17,11,2,9,,,,,,,,,,,,,,,
7/24,Leslie SNC meadow,9:15,17:15,along,,21,11,4,7,,,,,,,,,,,,,,,
7/31,CFP,9:08,17:05,along,upstream,7,7,7,0,,,,,,,,,,,,,,,
7/31,CFP,9:08,17:05,across,,7,21,6,6,,,,,,,,,,,,,,,
8/6,Maryfield sidewalk,8:23,16:22,along,upstream,7,9,4,3,,,,,,,,,,,,,,,
8/6,Maryfield sidewalk,8:23,16:22,across,,7,5,3,2,,,,,,,,,,,,,,,
8/8,1211 Wright sidewalk,9:30,16:50,along,upstream,8,6,6,0,,,,,,,,,,,,,,,
8/8,1211 Wright sidewalk,9:30,16:50,across,,8,5,5,0,,,,,,,,,,,,,,,
8/10,E. Kingsley sidewalk,9:20,17:25,along,upstream,8,6,5,0,,,,,,,,,,,,,,,
8/10,E. Kingsley sidewalk,9:20,17:25,across,,8,7,7,0,,,,,,,,,,,,,,,
7/31,Taylor sidewalk,8:25,16:49,along,,15,14,11,3,,,,,,,,,,,,,,,
7/31,Taylor sidewalk,8:25,16:49,across,,15,9,8,1,,,,,,,,,,,,,,,
